cluster,modularity,size
72,1.3606218031622291e-2/7.760856684674969e-2/4.5447490352396994e-2/2.409658542920528e-2/3.016067600441512e-2,25/55/139/523/1847/2696
75,1.0889809158569547e-2/1.2154895544100416e-2/7.760856684674969e-2/4.5447490352396994e-2/2.409658542920528e-2/3.016067600441512e-2,15/35/84/139/523/1847/2696
76,1.0889809158569547e-2/1.2154895544100416e-2/7.760856684674969e-2/4.5447490352396994e-2/2.409658542920528e-2/3.016067600441512e-2,20/35/84/139/523/1847/2696
77,1.2154895544100416e-2/7.760856684674969e-2/4.5447490352396994e-2/2.409658542920528e-2/3.016067600441512e-2,49/84/139/523/1847/2696
83,2.46261813868609e-3/3.7959582242382273e-3/1.1396197504767724e-2/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,38/76/140/193/375/1324/1847/2696
84,2.46261813868609e-3/3.7959582242382273e-3/1.1396197504767724e-2/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,38/76/140/193/375/1324/1847/2696
85,3.7959582242382273e-3/1.1396197504767724e-2/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,64/140/193/375/1324/1847/2696
86,1.1396197504767724e-2/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,53/193/375/1324/1847/2696
89,1.6839609519247123e-2/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,34/62/182/375/1324/1847/2696
91,8.292169890366158e-3/1.6839609519247123e-2/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,9/28/62/182/375/1324/1847/2696
92,8.292169890366158e-3/1.6839609519247123e-2/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,19/28/62/182/375/1324/1847/2696
95,8.961204537537015e-3/7.283439166920688e-3/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,44/74/120/182/375/1324/1847/2696
96,8.961204537537015e-3/7.283439166920688e-3/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,30/74/120/182/375/1324/1847/2696
98,1.6028560091777833e-3/7.283439166920688e-3/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,21/46/120/182/375/1324/1847/2696
99,1.6028560091777833e-3/7.283439166920688e-3/9.313872347177399e-3/1.545297836639431e-2/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,25/46/120/182/375/1324/1847/2696
104,2.234626860166705e-3/4.1424190840786e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,92/192/239/482/949/1324/1847/2696
105,2.234626860166705e-3/4.1424190840786e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,100/192/239/482/949/1324/1847/2696
107,6.499068891298032e-3/4.1424190840786e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,20/47/239/482/949/1324/1847/2696
108,6.499068891298032e-3/4.1424190840786e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,27/47/239/482/949/1324/1847/2696
110,2.632947178741185e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,87/243/482/949/1324/1847/2696
111,2.632947178741185e-3/6.240126814401115e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,156/243/482/949/1324/1847/2696
115,3.5816122365132375e-3/6.612221945722252e-3/6.387034382979023e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,89/146/192/467/949/1324/1847/2696
116,3.5816122365132375e-3/6.612221945722252e-3/6.387034382979023e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,57/146/192/467/949/1324/1847/2696
117,6.612221945722252e-3/6.387034382979023e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,46/192/467/949/1324/1847/2696
118,6.387034382979023e-3/8.831175574894184e-3/1.1939850677690739e-2/2.409658542920528e-2/3.016067600441512e-2,275/467/949/1324/1847/2696
